"llik","modname","yvar"
-1374.48714776344,"minIncome","High total difficulties (parent)"
-1372.25790586073,"minSiblings","High total difficulties (parent)"
-1407.61851316722,"minDistress","High total difficulties (parent)"
-1370.9901473057,"minTime","High total difficulties (parent)"
-1411.50694666604,"minIllness","High total difficulties (parent)"
-1372.71537779354,"minEmployed","High total difficulties (parent)"
-1378.09789538316,"minScore","High total difficulties (parent)"
-1373.36616034665,"minFather","High total difficulties (parent)"
-1394.30231310442,"minCloseness","High total difficulties (parent)"
-1370.88473257449,"minEthnicity","High total difficulties (parent)"
-1396.76281902039,"minMotivation","High total difficulties (parent)"
-1373.63992633505,"minBMI","High total difficulties (parent)"
-1374.1490956672,"minAge","High total difficulties (parent)"
-1370.99762673045,"minMale","High total difficulties (parent)"
-1370.77881574442,"min`Own computer`","High total difficulties (parent)"
-1370.88246416765,"min`Other internet`","High total difficulties (parent)"
-1373.45679002186,"min`Social media`","High total difficulties (parent)"
-1377.45013518061,"min`Electronic games`","High total difficulties (parent)"
-1371.19666065158,"minTV","High total difficulties (parent)"
-1378.76116460978,"min(Intercept)","High total difficulties (parent)"
